"id","ticker","collection_date","collection_week","recommendation_mean","recommendation_key","number_of_analyst_opinions","target_high_price","target_low_price","target_mean_price","target_median_price","earnings_quarterly_growth","earnings_growth","revenue_quarterly_growth","forward_pe","forward_eps","earnings_estimate_avg","earnings_estimate_low","earnings_estimate_high","earnings_estimate_year_ago","revenue_estimate_avg","revenue_estimate_low","revenue_estimate_high","revenue_estimate_year_ago","up_revisions","down_revisions","analyst_sentiment_score","created_at"
1,"AAPL","2025-08-17","2025-W33","1.95","buy",36,"300.000000","175.000000","234.276950","238.000000","0.0930","0.1210",NULL,"27.8688","8.3100","8.3100","8.3100","8.3100",NULL,"408624988160",NULL,NULL,NULL,NULL,NULL,"4.05","2025-08-17 07:19:49.279015"
2,"MSFT","2025-08-17","2025-W33","1.28","strong_buy",51,"700.000000","483.000000","612.804500","630.000000","0.2360","0.2370",NULL,"34.7940","14.9500","14.9500","14.9500","14.9500",NULL,"281723994112",NULL,NULL,NULL,NULL,NULL,"4.72","2025-08-17 07:19:50.611873"
3,"GOOGL","2025-08-17","2025-W33","1.54","buy",52,"248.000000","166.000000","216.589810","220.000000","0.1940","0.2230",NULL,"22.7567","8.9600","8.9600","8.9600","8.9600",NULL,"371399000064",NULL,NULL,NULL,NULL,NULL,"4.46","2025-08-17 07:19:52.044382"
4,"AMZN","2025-08-17","2025-W33","1.33","strong_buy",64,"306.000000","220.000000","262.187500","262.000000","0.3470","0.3330",NULL,"37.5659","6.1500","6.1500","6.1500","6.1500",NULL,"670038032384",NULL,NULL,NULL,NULL,NULL,"4.67","2025-08-17 07:19:53.375712"
5,"TSLA","2025-08-17","2025-W33","2.66","hold",40,"500.000000","115.000000","306.320740","322.500000","-0.1630","-0.1750",NULL,"102.0247","3.2400","3.2400","3.2400","3.2400",NULL,"92719996928",NULL,NULL,NULL,NULL,NULL,"3.34","2025-08-17 07:19:54.708756"
6,"META","2025-08-17","2025-W33","1.45","strong_buy",61,"1086.000000","658.000000","860.423950","875.000000","0.3620","0.3840",NULL,"31.0368","25.3000","25.3000","25.3000","25.3000",NULL,"178803998720",NULL,NULL,NULL,NULL,NULL,"4.55","2025-08-17 07:19:56.006672"
7,"NVDA","2025-08-17","2025-W33","1.42","strong_buy",56,"250.000000","100.000000","185.183930","190.000000","0.2620","0.2670",NULL,"43.7985","4.1200","4.1200","4.1200","4.1200",NULL,"148514996224",NULL,NULL,NULL,NULL,NULL,"4.58","2025-08-17 07:19:57.369464"
8,"BRK.B","2025-08-17","2025-W33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:19:58.698818"
9,"V","2025-08-17","2025-W33","1.66","buy",35,"430.000000","305.000000","391.229700","400.000000","0.0820","0.1210",NULL,"27.2093","12.6600","12.6600","12.6600","12.6600",NULL,"38892998656",NULL,NULL,NULL,NULL,NULL,"4.34","2025-08-17 07:20:00.236927"
10,"JNJ","2025-08-17","2025-W33","2.25","buy",23,"190.000000","155.000000","174.921740","175.000000","0.1820","0.1870",NULL,"16.6642","10.6000","10.6000","10.6000","10.6000",NULL,"90626998272",NULL,NULL,NULL,NULL,NULL,"3.75","2025-08-17 07:20:01.571598"
11,"WMT","2025-08-17","2025-W33","1.42","strong_buy",37,"130.000000","64.000000","110.567570","110.000000","-0.1210","-0.1110",NULL,"36.7647","2.7200","2.7200","2.7200","2.7200",NULL,"685086015488",NULL,NULL,NULL,NULL,NULL,"4.58","2025-08-17 07:20:02.897369"
