"id","ticker","period_ending","quarter","total_assets","total_current_assets","cash_and_cash_equivalents","inventory","total_liabilities","total_current_liabilities","long_term_debt","total_stockholder_equity","retained_earnings","common_stock","created_at"
1,"AAPL","2025-06-30","2025-Q2","331495000000","122491000000","36269000000","5925000000","265665000000","141120000000","82430000000","65830000000","-17607000000","89806000000","2025-08-17 07:23:11.26409"
2,"AAPL","2025-03-31","2025-Q1","331233000000","118674000000","28162000000","6269000000","264437000000","144571000000","78566000000","66796000000","-15552000000","88711000000","2025-08-17 07:23:11.295302"
3,"AAPL","2024-12-31","2024-Q4","344085000000","133240000000","30299000000","6911000000","277327000000","144365000000","83956000000","66758000000","-11221000000","84768000000","2025-08-17 07:23:11.311869"
4,"AAPL","2024-09-30","2024-Q3","364980000000","152987000000","29943000000","7286000000","308030000000","176392000000","85750000000","56950000000","-19154000000","83276000000","2025-08-17 07:23:11.326071"
5,"AAPL","2024-06-30","2024-Q2","331612000000","125435000000","25565000000","6165000000","264904000000","131624000000","86196000000","66708000000","-4726000000","79850000000","2025-08-17 07:23:11.338556"
6,"MSFT","2025-06-30","2025-Q2","619003000000","191131000000","30242000000","938000000","275524000000","141218000000","40152000000","343479000000","237731000000","109095000000","2025-08-17 07:23:14.293047"
7,"MSFT","2025-03-31","2025-Q1","562624000000","156644000000","28828000000","848000000","240733000000","114206000000","39882000000","321891000000","219759000000","106965000000","2025-08-17 07:23:14.309948"
8,"MSFT","2024-12-31","2024-Q4","533898000000","147080000000","17482000000","909000000","231203000000","108882000000","39722000000","302695000000","203482000000","104829000000","2025-08-17 07:23:14.326309"
9,"MSFT","2024-09-30","2024-Q3","523013000000","149926000000","20840000000","1626000000","235290000000","115200000000","42868000000","287723000000","188929000000","102976000000","2025-08-17 07:23:14.339672"
10,"MSFT","2024-06-30","2024-Q2","512163000000","159734000000","18315000000","1246000000","243686000000","125286000000","42688000000","268477000000","173144000000","100923000000","2025-08-17 07:23:14.350878"
11,"GOOGL","2025-06-30","2025-Q2","502053000000","166216000000","21036000000",NULL,"139137000000","87310000000","23607000000","362916000000","275760000000","89283000000","2025-08-17 07:23:17.342555"
12,"GOOGL","2025-03-31","2025-Q1","475374000000","162052000000","23264000000",NULL,"130107000000","91654000000","10886000000","345267000000","262628000000","86725000000","2025-08-17 07:23:17.358096"
13,"GOOGL","2024-12-31","2024-Q4","450256000000","163711000000","23466000000",NULL,"125172000000","89122000000","10883000000","325084000000","245084000000","84800000000","2025-08-17 07:23:17.3722"
14,"GOOGL","2024-09-30","2024-Q3","430266000000","157541000000","19959000000",NULL,"116147000000","80803000000","10880000000","314119000000","235317000000","82030000000","2025-08-17 07:23:17.388212"
15,"GOOGL","2024-06-30","2024-Q2","414770000000","161995000000","27225000000",NULL,"114017000000","77913000000","11876000000","300753000000","226033000000","79732000000","2025-08-17 07:23:17.402509"
16,"GOOGL","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:17.415086"
17,"AMZN","2025-06-30","2025-Q2","682170000000","191420000000","57741000000","40825000000","348395000000","186921000000","50718000000","333775000000","208157000000","112000000","2025-08-17 07:23:20.327864"
18,"AMZN","2025-03-31","2025-Q1","643256000000","184645000000","66207000000","35864000000","337389000000","176171000000","53374000000","305867000000","189993000000","111000000","2025-08-17 07:23:20.338194"
19,"AMZN","2024-12-31","2024-Q4","624894000000","190867000000","78779000000","34214000000","338924000000","179431000000","52623000000","285970000000","172866000000","111000000","2025-08-17 07:23:20.348565"
20,"AMZN","2024-09-30","2024-Q3","584626000000","175792000000","75091000000","36103000000","325475000000","161477000000","54890000000","259151000000","152862000000","110000000","2025-08-17 07:23:20.360346"
21,"AMZN","2024-06-30","2024-Q2","554818000000","173307000000","71178000000","34109000000","318371000000","158172000000","54889000000","236447000000","137534000000","110000000","2025-08-17 07:23:20.367371"
22,"TSLA","2025-06-30","2025-Q2","128567000000","61133000000","15587000000","14570000000","50495000000","30008000000","4994000000","77314000000","36790000000","3000000","2025-08-17 07:23:23.277499"
