"id","ticker","period_ending","quarter","operating_cash_flow","investing_cash_flow","financing_cash_flow","free_cash_flow","capital_expenditure","depreciation","change_in_working_capital","created_at"
1,"AAPL","2025-06-30","2025-Q2","27867000000","5073000000","-24833000000","24405000000","-3462000000",NULL,"-2034000000","2025-08-17 07:23:11.276656"
2,"AAPL","2025-03-31","2025-Q1","23952000000","2917000000","-29006000000","20881000000","-3071000000",NULL,"-6507000000","2025-08-17 07:23:11.298515"
3,"AAPL","2024-12-31","2024-Q4","29935000000","9792000000","-39371000000","26995000000","-2940000000",NULL,"-10752000000","2025-08-17 07:23:11.315073"
4,"AAPL","2024-09-30","2024-Q3","26811000000","1445000000","-24948000000","23903000000","-2908000000",NULL,"6608000000","2025-08-17 07:23:11.329318"
5,"AAPL","2024-06-30","2024-Q2","28858000000","-127000000","-36017000000","26707000000","-2151000000",NULL,"1684000000","2025-08-17 07:23:11.342549"
6,"MSFT","2025-06-30","2025-Q2","42647000000","-30572000000","-10844000000","25568000000","-17079000000","11203000000","3303000000","2025-08-17 07:23:14.297191"
7,"MSFT","2025-03-31","2025-Q1","37044000000","-12714000000","-13036000000","20299000000","-16745000000","8740000000","2042000000","2025-08-17 07:23:14.313542"
8,"MSFT","2024-12-31","2024-Q4","22291000000","-14112000000","-11243000000","6487000000","-15804000000","6827000000","-11551000000","2025-08-17 07:23:14.329788"
9,"MSFT","2024-09-30","2024-Q3","34180000000","-15201000000","-16576000000","19257000000","-14923000000","7383000000","856000000","2025-08-17 07:23:14.343555"
10,"MSFT","2024-06-30","2024-Q2","37195000000","-14848000000","-23563000000","23322000000","-13873000000","6380000000","7184000000","2025-08-17 07:23:14.355536"
11,"GOOGL","2025-06-30","2025-Q2","27747000000","-24544000000","-5832000000","5301000000","-22446000000","4998000000","-10110000000","2025-08-17 07:23:17.346981"
12,"GOOGL","2025-03-31","2025-Q1","36150000000","-16194000000","-20201000000","18953000000","-17197000000","4487000000","2238000000","2025-08-17 07:23:17.361631"
13,"GOOGL","2024-12-31","2024-Q4","39113000000","-16180000000","-19036000000","24837000000","-14276000000","4205000000","3116000000","2025-08-17 07:23:17.37696"
14,"GOOGL","2024-09-30","2024-Q3","30698000000","-18011000000","-20094000000","17637000000","-13061000000","3985000000","-3789000000","2025-08-17 07:23:17.392902"
15,"GOOGL","2024-06-30","2024-Q2","26640000000","-2781000000","-20889000000","13454000000","-13186000000","3708000000","-5270000000","2025-08-17 07:23:17.407418"
16,"AMZN","2025-06-30","2025-Q2","32515000000","-39424000000","-2539000000","332000000","-32183000000",NULL,"-6163000000","2025-08-17 07:23:20.329795"
17,"AMZN","2025-03-31","2025-Q1","17015000000","-29803000000","-47000000","-8004000000","-25019000000",NULL,"-15753000000","2025-08-17 07:23:20.341901"
18,"AMZN","2024-12-31","2024-Q4","45636000000","-37443000000","-3308000000","17802000000","-27834000000",NULL,"7100000000","2025-08-17 07:23:20.350455"
19,"AMZN","2024-09-30","2024-Q3","25971000000","-16899000000","-2758000000","3351000000","-22620000000",NULL,"-6674000000","2025-08-17 07:23:20.362363"
20,"AMZN","2024-06-30","2024-Q2","25281000000","-22138000000","-4490000000","7661000000","-17620000000",NULL,"-6084000000","2025-08-17 07:23:20.373166"
21,"TSLA","2025-06-30","2025-Q2","2540000000","-2944000000","-222000000","146000000","-2394000000","1433000000","-673000000","2025-08-17 07:23:23.281826"
22,"TSLA","2025-03-31","2025-Q1","2156000000","-1651000000","-332000000","664000000","-1492000000","1447000000","-554000000","2025-08-17 07:23:23.297175"
23,"TSLA","2024-12-31","2024-Q4","4814000000","-7603000000","985000000","2034000000","-2780000000","1496000000","1030000000","2025-08-17 07:23:23.311877"
24,"TSLA","2024-09-30","2024-Q3","6255000000","-2875000000","132000000","2742000000","-3513000000","1348000000","1574000000","2025-08-17 07:23:23.32683"
25,"TSLA","2024-06-30","2024-Q2","3612000000","-3225000000","2540000000","1340000000","-2272000000","1278000000","138000000","2025-08-17 07:23:23.342613"
26,"TSLA","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:23.357098"
27,"TSLA","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:23.371475"
28,"META","2025-06-30","2025-Q2","25561000000","-25958000000","-15977000000","9023000000","-16538000000",NULL,"-957000000","2025-08-17 07:23:26.355406"
29,"META","2025-03-31","2025-Q1","24026000000","-20010000000","-19495000000","11085000000","-12941000000",NULL,"559000000","2025-08-17 07:23:26.370705"
