"id","ticker","period_ending","quarter","total_revenue","cost_of_revenue","gross_profit","operating_expense","operating_income","net_income","basic_eps","diluted_eps","ebitda","created_at"
1,"AAPL","2025-06-30","2025-Q2","94036000000","50318000000","43718000000","15516000000","28202000000","23434000000","1.5700","1.5700","31032000000","2025-08-17 07:23:11.240443"
2,"AAPL","2025-03-31","2025-Q1","95359000000","50492000000","44867000000","15278000000","29589000000","24780000000","1.6500","1.6500","32250000000","2025-08-17 07:23:11.291647"
3,"AAPL","2024-12-31","2024-Q4","124300000000","66025000000","58275000000","15443000000","42832000000","36330000000","2.4100","2.4000","45912000000","2025-08-17 07:23:11.308138"
4,"AAPL","2024-09-30","2024-Q3","94930000000","51051000000","43879000000","14288000000","29591000000","14736000000","0.9700","0.9700","32502000000","2025-08-17 07:23:11.321567"
5,"AAPL","2024-06-30","2024-Q2","85777000000","46099000000","39678000000","14326000000","25352000000","21448000000","1.4000","1.4000","28202000000","2025-08-17 07:23:11.33372"
6,"MSFT","2025-06-30","2025-Q2","76441000000","24014000000","52427000000","18104000000","34323000000","27233000000","3.6600","3.6500","44434000000","2025-08-17 07:23:14.272245"
7,"MSFT","2025-03-31","2025-Q1","70066000000","21919000000","48147000000","16147000000","32000000000","25824000000","3.4700","3.4600","40711000000","2025-08-17 07:23:14.304775"
8,"MSFT","2024-12-31","2024-Q4","69632000000","21799000000","47833000000","16180000000","31653000000","24108000000","3.2400","3.2300","36786000000","2025-08-17 07:23:14.320995"
9,"MSFT","2024-09-30","2024-Q3","65585000000","20099000000","45486000000","14934000000","30552000000","24667000000","3.3200","3.3000","38234000000","2025-08-17 07:23:14.33469"
10,"MSFT","2024-06-30","2024-Q2","64727000000","19684000000","45043000000","17118000000","27925000000","22036000000","2.9600","2.9500","34331000000","2025-08-17 07:23:14.348004"
11,"GOOGL","2025-06-30","2025-Q2","96428000000","39039000000","57389000000","26118000000","31271000000","28196000000","2.3300","2.3100","39192000000","2025-08-17 07:23:17.322813"
12,"GOOGL","2025-03-31","2025-Q1","90234000000","36361000000","53873000000","23267000000","30606000000","34540000000","2.8400","2.8100","46310000000","2025-08-17 07:23:17.353527"
13,"GOOGL","2024-12-31","2024-Q4","96469000000","40613000000","55856000000","24884000000","30972000000","26536000000","2.1700","2.1500","36501000000","2025-08-17 07:23:17.366276"
14,"GOOGL","2024-09-30","2024-Q3","88268000000","36474000000","51794000000","23273000000","28521000000","26301000000","2.1400","2.1200","35745000000","2025-08-17 07:23:17.382714"
15,"GOOGL","2024-06-30","2024-Q2","84742000000","35507000000","49235000000","21810000000","27425000000","23619000000","1.9100","1.8900","31326000000","2025-08-17 07:23:17.398198"
16,"GOOGL","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:17.412359"
17,"AMZN","2025-06-30","2025-Q2","167702000000","80809000000","86893000000","67722000000","19171000000","18164000000","1.7100","1.6800","36600000000","2025-08-17 07:23:20.325553"
18,"AMZN","2025-03-31","2025-Q1","155667000000","76976000000","78691000000","60286000000","18405000000","17127000000","1.6200","1.5900","36482000000","2025-08-17 07:23:20.33363"
19,"AMZN","2024-12-31","2024-Q4","187792000000","98893000000","88899000000","67696000000","21203000000","20004000000","1.9000","1.8600","38550000000","2025-08-17 07:23:20.346391"
20,"AMZN","2024-09-30","2024-Q3","158877000000","80977000000","77900000000","60489000000","17411000000","15328000000","1.4600","1.4300","32082000000","2025-08-17 07:23:20.357844"
21,"AMZN","2024-06-30","2024-Q2","147977000000","73785000000","74192000000","59520000000","14672000000","13485000000","1.2900","1.2600","27872000000","2025-08-17 07:23:20.365562"
22,"TSLA","2025-06-30","2025-Q2","22496000000","18618000000","3878000000","2955000000","923000000","1172000000","0.3600","0.3300","3068000000","2025-08-17 07:23:23.260617"
23,"TSLA","2025-03-31","2025-Q1","19335000000","16182000000","3153000000","2660000000","493000000","409000000","0.1300","0.1200","2127000000","2025-08-17 07:23:23.290394"
24,"TSLA","2024-12-31","2024-Q4","25707000000","21528000000","4179000000","2589000000","1590000000","2356000000","0.7200","0.6600","4358000000","2025-08-17 07:23:23.303158"
25,"TSLA","2024-09-30","2024-Q3","25182000000","20185000000","4997000000","2225000000","2772000000","2167000000","0.6800","0.6200","4224000000","2025-08-17 07:23:23.317004"
26,"TSLA","2024-06-30","2024-Q2","25500000000","20922000000","4578000000","2351000000","2227000000","1400000000","0.4400","0.4000","3151000000","2025-08-17 07:23:23.331773"
27,"TSLA","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:23.347773"
28,"TSLA","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:23.363191"
29,"META","2025-06-30","2025-Q2","47516000000","8491000000","39025000000","18584000000","20441000000","18337000000","7.2800","7.1400","25117000000","2025-08-17 07:23:26.346928"
30,"META","2025-03-31","2025-Q1","42314000000","7572000000","34742000000","17187000000","17555000000","16644000000","6.5900","6.4300","22522000000","2025-08-17 07:23:26.362362"
31,"META","2024-12-31","2024-Q4","48385000000","8839000000","39546000000","16182000000","23364000000","20838000000","8.2400","8.0200","28263000000","2025-08-17 07:23:26.377247"
32,"META","2024-09-30","2024-Q3","40589000000","7375000000","33214000000","15864000000","17350000000","15688000000","6.2000","6.0300","22057000000","2025-08-17 07:23:26.393248"
33,"META","2024-06-30","2024-Q2","39071000000","7308000000","31763000000","16916000000","14847000000","13465000000","5.3100","5.1600","18871000000","2025-08-17 07:23:26.408959"
34,"NVDA","2025-04-30","2025-Q2","44062000000","17394000000","26668000000","5030000000","21638000000","18775000000","0.7700","0.7600","22584000000","2025-08-17 07:23:29.330831"
35,"NVDA","2025-01-31","2025-Q1","39331000000","10608000000","28723000000","4689000000","24034000000","22091000000","0.9000","0.8900","25821000000","2025-08-17 07:23:29.359086"
36,"NVDA","2024-10-31","2024-Q4","35082000000","8926000000","26156000000","4287000000","21869000000","19309000000","0.7900","0.7800","22855000000","2025-08-17 07:23:29.373637"
37,"NVDA","2024-07-31","2024-Q3","30040000000","7466000000","22574000000","3932000000","18642000000","16599000000","0.6800","0.6700","19708000000","2025-08-17 07:23:29.389322"
38,"NVDA","2024-04-30","2024-Q2","26044000000","5638000000","20406000000","3497000000","16909000000","14881000000","0.6000","0.6000","17753000000","2025-08-17 07:23:29.402309"
39,"NVDA","2024-01-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:29.417189"
40,"V","2025-06-30","2025-Q2","10172000000","1973000000","8199000000","1407000000","6792000000","5272000000","2.6900","2.6900","6689000000","2025-08-17 07:23:34.92604"
41,"V","2025-03-31","2025-Q1","9594000000","1881000000","7713000000","1278000000","6435000000","4577000000","2.3200","2.3200","5901000000","2025-08-17 07:23:34.954602"
42,"V","2024-12-31","2024-Q4","9510000000","2020000000","7490000000","1212000000","6278000000","5119000000","2.5800","2.5800","6664000000","2025-08-17 07:23:34.965754"
